lambda_593,SRGECO_580_593
414.4,0
414.6,0
414.8,0
415,0
415.2,0
415.4,0
415.6,0
415.8,0
416,0
416.2,0
416.4,0
416.6,0
416.8,0
417,0
417.2,0
417.4,0
417.6,0
417.8,0
418,0
418.2,0
418.4,0
418.6,0
418.8,0
419,0
419.2,0
419.4,0
419.6,0
419.8,0
420,0
420.2,0
420.4,0
420.6,0
420.8,0
421,0
421.2,0
421.4,0
421.6,0
421.8,0
422,0
422.2,0
422.4,0
422.6,0
422.8,0
423,0
423.2,0
423.4,0
423.6,0
423.8,0
424,0
424.2,0
424.4,0
424.6,0
424.8,0
425,0
425.2,0
425.4,0
425.6,0
425.8,0
426,0
426.2,0
426.4,0
426.6,0
426.8,0
427,0
427.2,0
427.4,0
427.6,0
427.8,0
428,0
428.2,0
428.4,0
428.6,0
428.8,0
429,0
429.2,0
429.4,0
429.6,0
429.8,0
430,0
430.2,0
430.4,0
430.6,0
430.8,0
431,0
431.2,0
431.4,0
431.6,0
431.8,0
432,0
432.2,0
432.4,0
432.6,0
432.8,0
433,0
433.2,0
433.4,0
433.6,0
433.8,0
434,0
434.2,0
434.4,0
434.6,0
434.8,0
435,0
435.2,0
435.4,0
435.6,0
435.8,0
436,0
436.2,0
436.4,0
436.6,0
436.8,0
437,0
437.2,0
437.4,0
437.6,0
437.8,0
438,0
438.2,0
438.4,0
438.6,0
438.8,0
439,0
439.2,0
439.4,0
439.6,0
439.8,0
440,0
440.2,0
440.4,0
440.6,0
440.8,0
441,0
441.2,0
441.4,0
441.6,0
441.8,0
442,0
442.2,0
442.4,0
442.6,0
442.8,0
443,0
443.2,0
443.4,0
443.6,0
443.8,0
444,0
444.2,0
444.4,0
444.6,0
444.8,0
445,0
445.2,0
445.4,0
445.6,0
445.8,0
446,0
446.2,0
446.4,0
446.6,0
446.8,0
447,0
447.2,0
447.4,0
447.6,0
447.8,0
448,0
448.2,0
448.4,0
448.6,0
448.8,0
449,0
449.2,0
449.4,0
449.6,0
449.8,0
450,0
450.2,0
450.4,0
450.6,0
450.8,0
451,0
451.2,0
451.4,0
451.6,0
451.8,0
452,0
452.2,0
452.4,0
452.6,0
452.8,0
453,0
453.2,0
453.4,0
453.6,0
453.8,0
454,0
454.2,0
454.4,0
454.6,0
454.8,0
455,0
455.2,0
455.4,0
455.6,0
455.8,0
456,0
456.2,0
456.4,0
456.6,0
456.8,0
457,0
457.2,0
457.4,0
457.6,0
457.8,0
458,0
458.2,0
458.4,0
458.6,0
458.8,0
459,0
459.2,0
459.4,0
459.6,0
459.8,0
460,0
460.2,0
460.4,0
460.6,0
460.8,0
461,0
461.2,0
461.4,0
461.6,0
461.8,0
462,0
462.2,0
462.4,0
462.6,0
462.8,0
463,0
463.2,0
463.4,0
463.6,0
463.8,0
464,0
464.2,0
464.4,0
464.6,0
464.8,0
465,0
465.2,0
465.4,0
465.6,0
465.8,0
466,0
466.2,0
466.4,0
466.6,0
466.8,0
467,0
467.2,0
467.4,0
467.6,0
467.8,0
468,0
468.2,0
468.4,0
468.6,0
468.8,0
469,0
469.2,0
469.4,0
469.6,0
469.8,0
470,0
470.2,0
470.4,0
470.6,0
470.8,0
471,0
471.2,0
471.4,0
471.6,0
471.8,0
472,0
472.2,0
472.4,0
472.6,0
472.8,0
473,0
473.2,0
473.4,0
473.6,0
473.8,0
474,0
474.2,0
474.4,0
474.6,0
474.8,0
475,0
475.2,0
475.4,0
475.6,0
475.8,0
476,0
476.2,0
476.4,0
476.6,0
476.8,0
477,0
477.2,0
477.4,0
477.6,0
477.8,0
478,0
478.2,0
478.4,0
478.6,0
478.8,0
479,0
479.2,0
479.4,0
479.6,0
479.8,0
480,0
480.2,0
480.4,0
480.6,0
480.8,0
481,0
481.2,0
481.4,0
481.6,0
481.8,0
482,0
482.2,0
482.4,0
482.6,0
482.8,0
483,0
483.2,0
483.4,0
483.6,0
483.8,0
484,0
484.2,0
484.4,0
484.6,0
484.8,0
485,0
485.2,0
485.4,0
485.6,0
485.8,0
486,0
486.2,0
486.4,0
486.6,0
486.8,0
487,0
487.2,0
487.4,0
487.6,0
487.8,0
488,0
488.2,0
488.4,0
488.6,0
488.8,0
489,0
489.2,0
489.4,0
489.6,0
489.8,0
490,0
490.2,0
490.4,0
490.6,0
490.8,0
491,0
491.2,0
491.4,0
491.6,0
491.8,0
492,0
492.2,0
492.4,0
492.6,0
492.8,0
493,0
493.2,0
493.4,0
493.6,0
493.8,0
494,0
494.2,0
494.4,0
494.6,0
494.8,0
495,0
495.2,0
495.4,0
495.6,0
495.8,0
496,0
496.2,0
496.4,0
496.6,0
496.8,0
497,0
497.2,0
497.4,0
497.6,0
497.8,0
498,0
498.2,0
498.4,0
498.6,0
498.8,0
499,0
499.2,0
499.4,0
499.6,0
499.8,0
500,0
500.2,0
500.4,0
500.6,0
500.8,0
501,0
501.2,0
501.4,0
501.6,0
501.8,0
502,0
502.2,0
502.4,0
502.6,0
502.8,0
503,0
503.2,0
503.4,0
503.6,0
503.8,0
504,0
504.2,0
504.4,0
504.6,0
504.8,0
505,0
505.2,0
505.4,0
505.6,0
505.8,0
506,0
506.2,0
506.4,0
506.6,0
506.8,0
507,0
507.2,0
507.4,0
507.6,0
507.8,0
508,0
508.2,0
508.4,0
508.6,0
508.8,0
509,0
509.2,0
509.4,0
509.6,0
509.8,0
510,0
510.2,0
510.4,0
510.6,0
510.8,0
511,0
511.2,0
511.4,0
511.6,0
511.8,0
512,0
512.2,0
512.4,0
512.6,0
512.8,0
513,0
513.2,0
513.4,0
513.6,0
513.8,0
514,0
514.2,0
514.4,0
514.6,0
514.8,0
515,0
515.2,0
515.4,0
515.6,0
515.8,0
516,0
516.2,0
516.4,0
516.6,0
516.8,0
517,0
517.2,0
517.4,0
517.6,0
517.8,0
518,0
518.2,0
518.4,0
518.6,0
518.8,0
519,0
519.2,0
519.4,0
519.6,0
519.8,0
520,0
520.2,0
520.4,0
520.6,0
520.8,0
521,0
521.2,0
521.4,0
521.6,0
521.8,0
522,0
522.2,0
522.4,0
522.6,0
522.8,0
523,0
523.2,0
523.4,0
523.6,0
523.8,0
524,0
524.2,0
524.4,0
524.6,0
524.8,0
525,0
525.2,0
525.4,0
525.6,0
525.8,0
526,0
526.2,0
526.4,0
526.6,0
526.8,0
527,0
527.2,0
527.4,0
527.6,0
527.8,0
528,0
528.2,0
528.4,0
528.6,0
528.8,0
529,0
529.2,0
529.4,0
529.6,0
529.8,0
530,0
530.2,0
530.4,0
530.6,0
530.8,0
531,0
531.2,0
531.4,0
531.6,0
531.8,0
532,0
532.2,0
532.4,0
532.6,0
532.8,0
533,0
533.2,0
533.4,0
533.6,0
533.8,0
534,0
534.2,0
534.4,0
534.6,0
534.8,0
535,0
535.2,0
535.4,0
535.6,0
535.8,0
536,0
536.2,0
536.4,0
536.6,0
536.8,0
537,0
537.2,0
537.4,0
537.6,0
537.8,0
538,0
538.2,0
538.4,0
538.6,0
538.8,0
539,0
539.2,0
539.4,0
539.6,0
539.8,0
540,0
540.2,0
540.4,0
540.6,0
540.8,0
541,0
541.2,0
541.4,0
541.6,0
541.8,0
542,0
542.2,0
542.4,0
542.6,0
542.8,0
543,0
543.2,0
543.4,0
543.6,0
543.8,0
544,0
544.2,0
544.4,0
544.6,0
544.8,0
545,0
545.2,0
545.4,0
545.6,0
545.8,0
546,0
546.2,0
546.4,0
546.6,0
546.8,0
547,0
547.2,5.9534659578674e-15
547.4,2.39196556461222e-14
547.6,5.44968748868854e-14
547.8,9.65065788438486e-14
548,1.53866335035457e-13
548.2,2.22450730315685e-13
548.4,3.08712973975884e-13
548.6,4.10892413164838e-13
548.8,5.25762397835727e-13
549,6.60871713906455e-13
549.2,8.08000976676661e-13
549.4,9.85092176583571e-13
549.6,1.17544490708506e-12
549.8,1.39466692493681e-12
550,1.62619566053152e-12
550.2,1.87859873810601e-12
550.4,2.19279190761487e-12
550.6,2.49330431884938e-12
550.8,2.89988952512668e-12
551,3.32857933975769e-12
551.2,3.77562068456714e-12
551.4,4.25883732440146e-12
551.6,4.80337630649962e-12
551.8,5.39037045857875e-12
552,6.10551902851808e-12
552.2,6.87867182796651e-12
552.4,7.74422211591157e-12
552.6,8.60636221215205e-12
552.8,9.63890266194492e-12
553,1.08256527830012e-11
553.2,1.21415383534409e-11
553.4,1.35966529903842e-11
553.6,1.5154046695907e-11
553.8,1.69164476884505e-11
554,1.89557317473577e-11
554.2,2.11332080726609e-11
554.4,2.36860953101155e-11
554.6,2.63456510626826e-11
554.8,2.9621847695511e-11
555,3.30425024281105e-11
555.2,3.68849397612845e-11
555.4,4.13289987398905e-11
555.6,4.57353449172023e-11
555.8,5.09513834216584e-11
556,5.66336363881625e-11
556.2,6.31543749929646e-11
556.4,6.98587965620652e-11
556.6,7.75743973918059e-11
556.8,8.57973560902472e-11
557,9.43432125518091e-11
557.2,1.03311421667369e-10
557.4,1.12492112219232e-10
557.6,1.23205557988193e-10
557.8,1.33610811208664e-10
558,1.4411070733114e-10
558.2,1.54921283896834e-10
558.4,1.65782610979055e-10
558.6,1.76013125054882e-10
558.8,1.85657496704609e-10
559,1.96291584078429e-10
559.2,2.05280276681699e-10
559.4,2.14209137340036e-10
559.6,2.2200607223541e-10
559.8,2.29178212103754e-10
560,2.35348665292899e-10
560.2,2.41888220869701e-10
560.4,2.48653752556963e-10
560.6,2.52934516671405e-10
560.8,2.57679343170469e-10
561,2.6185293314482e-10
561.2,2.6614577468264e-10
561.4,2.70568130582715e-10
561.6,2.75130415614961e-10
561.8,2.78281995717207e-10
562,2.83122069181858e-10
562.2,2.87319492287795e-10
562.4,2.92497172816928e-10
562.6,2.96807814314594e-10
562.8,3.01713375649028e-10
563,3.06588449808848e-10
563.2,3.13456517736955e-10
563.4,3.19221504131914e-10
563.6,3.25452690419364e-10
563.8,3.33126129811676e-10
564,3.41591130723541e-10
564.2,3.47926022116139e-10
564.4,3.5853601210119e-10
564.6,3.68535353308624e-10
564.8,3.7840256339567e-10
565,3.89361099657653e-10
565.2,4.04336421698022e-10
565.4,4.19942324436794e-10
565.6,4.38611190725703e-10
565.8,4.56870023290248e-10
566,4.77228340519669e-10
566.2,5.03412024465929e-10
566.4,5.35762506248013e-10
566.6,5.64638584897959e-10
566.8,5.95220206687349e-10
567,6.25602917700775e-10
567.2,6.57506686321209e-10
567.4,6.9798996148727e-10
567.6,7.43439546344242e-10
567.8,7.92228775267013e-10
568,8.41500642064869e-10
568.2,9.01054619116822e-10
568.4,9.94203708367508e-10
568.6,1.05920608401424e-09
568.8,1.12691836053723e-09
569,1.19841709721032e-09
569.2,1.27744456089596e-09
569.4,1.35803805696265e-09
569.6,1.46231474320583e-09
569.8,1.56768733773637e-09
570,1.67997763261762e-09
570.2,1.79970054879287e-09
570.4,1.92025631131787e-09
570.6,2.0479755548585e-09
570.8,2.18868462931043e-09
571,2.3698204781154e-09
571.2,2.72000068618899e-09
571.4,2.96245326615089e-09
571.6,3.20659823531094e-09
571.8,3.4563824831785e-09
572,3.74049816829643e-09
572.2,4.15740880876183e-09
572.4,4.5945087500988e-09
572.6,5.02011742054321e-09
572.8,5.49391582558101e-09
573,6.00677279525113e-09
573.2,6.55705634359684e-09
573.4,7.15559430138684e-09
573.6,7.80096791822457e-09
573.8,8.56837634556224e-09
574,9.40890603954328e-09
574.2,1.03107823994664e-08
574.4,1.13316507866441e-08
574.6,1.24635873360913e-08
574.8,1.38503952046085e-08
575,1.53172138194882e-08
575.2,1.66893837186804e-08
575.4,1.75526009242631e-08
575.6,1.95597366406806e-08
575.8,2.14590822610913e-08
576,2.30550825854778e-08
576.2,2.46619559124867e-08
576.4,2.63722045786017e-08
576.6,2.79886972415536e-08
576.8,2.95835519823701e-08
577,3.10974717330772e-08
577.2,3.26003359082345e-08
577.4,3.41037502242048e-08
577.6,3.54175725933564e-08
577.8,3.6429782734561e-08
578,3.73149075525994e-08
578.2,3.81888678737539e-08
578.4,3.933937056e-08
578.6,4.08665510415162e-08
578.8,4.17382348938236e-08
579,4.24111704247205e-08
579.2,4.7804014135189e-08
579.4,4.81636782484222e-08
579.6,6.83901047259155e-08
579.8,7.75858963118812e-08
580,5.58097001173802e-08
580.2,4.53619550509113e-08
580.4,4.588037152e-08
580.6,4.64723219591677e-08
580.8,4.72934294355907e-08
581,4.81609846711644e-08
581.2,4.88507043535717e-08
581.4,5.01243814540501e-08
581.6,5.26497533909857e-08
581.8,5.48736722445973e-08
582,5.5094440230809e-08
582.2,5.52826040007837e-08
582.4,6.46347228707999e-08
582.6,7.81417740103104e-08
582.8,8.3444479507785e-08
583,6.75136048639764e-08
583.2,6.57783005844953e-08
583.4,6.61239161517572e-08
583.6,6.71896550581719e-08
583.8,6.93395904999762e-08
584,7.16300198713693e-08
584.2,7.39984352705504e-08
584.4,7.62904126108389e-08
584.6,7.83921653241301e-08
584.8,8.04485050842682e-08
585,8.22665453101987e-08
585.2,8.41023300386726e-08
585.4,8.58250651615581e-08
585.6,8.72889269133059e-08
585.8,8.87542708289084e-08
586,8.99950486011659e-08
586.2,9.10923774658704e-08
586.4,9.20868228726244e-08
586.6,9.2789857884379e-08
586.8,9.34870951393848e-08
587,9.39106511845789e-08
587.2,9.42569706779352e-08
587.4,9.45320502520275e-08
587.6,1.0216859327869e-07
587.8,1.11628156283233e-07
588,1.12287700028238e-07
588.2,9.7185335656254e-08
588.4,9.48538985610592e-08
588.6,9.48290306887883e-08
588.8,9.48535975732146e-08
589,9.46811290904624e-08
589.2,9.44674594270061e-08
589.4,9.41599068190241e-08
589.6,9.88463585832604e-08
589.8,1.1371601396604e-07
590,1.30849988048694e-07
590.2,1.17690144385377e-07
590.4,1.0174758539357e-07
590.6,1.08403195265816e-07
590.8,1.66978583561599e-07
591,1.47177642777325e-07
591.2,1.1855451169627e-07
591.4,1.11187558816784e-07
591.6,1.37734893113792e-07
591.8,1.70525929814181e-07
592,1.49484190449346e-07
592.2,1.4887952543331e-07
592.4,2.11938744872115e-07
592.6,3.01186268795977e-07
592.8,3.4358393155139e-07
593,3.76342736012314e-07
593.2,4.5871616117836e-07
593.4,6.9771515383078e-07
593.6,8.94267021569731e-07
593.8,1.10679309663371e-06
594,1.36376918569927e-06
594.2,1.66252658846688e-06
594.4,2.02376389692132e-06
594.6,2.62329638494411e-06
594.8,3.46705666509296e-06
595,4.89480883423036e-06
595.2,5.8797957127332e-06
595.4,7.95754171100337e-06
595.6,1.12366690666673e-05
595.8,1.58290416302819e-05
596,2.13741666855571e-05
596.2,2.95099604444681e-05
596.4,4.06760930479436e-05
596.6,5.66278601950858e-05
596.8,8.01869692468594e-05
597,0.000113462358168498
597.2,0.000166869210734393
597.4,0.000245038237621964
597.6,0.000366058967940718
597.8,0.000541942409426114
598,0.000804282294785569
598.2,0.0012108827698368
598.4,0.00186720154352495
598.6,0.00261815187641689
598.8,0.00413575263675061
599,0.00663792153211401
599.2,0.0109087779422308
599.4,0.0182899970074633
599.6,0.0314840043941698
599.8,0.0557655615175405
600,0.113600864160984
600.2,0.194896127322045
600.4,0.316930074601322
600.6,0.46257123524472
600.8,0.592517529015333
601,0.673441940767429
601.2,0.710770555086668
601.4,0.720843726555033
601.6,0.721400516701798
601.8,0.719195823339992
602,0.717909455205436
602.2,0.716737537399162
602.4,0.716027142156358
602.6,0.714898005643508
602.8,0.712954364787702
603,0.710295325375882
603.2,0.707397801237635
603.4,0.703740515340104
603.6,0.698729523617221
603.8,0.694060909744138
604,0.67842437020618
604.2,0.668546435439261
604.4,0.665205080682299
604.6,0.663146374436606
604.8,0.661077859956432
605,0.660292403969297
605.2,0.658972601823801
605.4,0.65674416124118
605.6,0.653146604936825
605.8,0.649076140153634
606,0.642170416612325
606.2,0.63083591647883
606.4,0.622376847649368
606.6,0.614670814720046
606.8,0.610176446151713
607,0.606724360728285
607.2,0.603882761178105
607.4,0.60296179678977
607.6,0.601086094091658
607.8,0.599911595645077
608,0.599365135510153
608.2,0.599524664116376
608.4,0.59651312464378
608.6,0.595432132842536
608.8,0.59315824212529
609,0.590328629079932
609.2,0.587684372329451
609.4,0.584610585940817
609.6,0.581441494780473
609.8,0.576934116938184
610,0.573133305514307
610.2,0.568885859855951
610.4,0.564511546565579
610.6,0.560829451444299
610.8,0.557024953021702
611,0.553103260434036
611.2,0.549733134220154
611.4,0.545751022707628
611.6,0.543278222300897
611.8,0.539910197714621
612,0.537420626044147
612.2,0.535061683690303
612.4,0.53293504158061
612.6,0.530943763966587
612.8,0.529184098685998
613,0.527436835661156
613.2,0.525719026025212
613.4,0.523967818924496
613.6,0.521893996403438
613.8,0.520491336333923
614,0.518146695586158
614.2,0.51646302676787
614.4,0.514187962474124
614.6,0.512160828854043
614.8,0.509963955753118
615,0.50827684274929
615.2,0.506074378177316
615.4,0.503814741639711
615.6,0.501179613665803
615.8,0.498150257427629
616,0.495405223074074
616.2,0.491104864925636
616.4,0.48565745963011
616.6,0.479894981418526
616.8,0.474383233747679
617,0.470347521168849
617.2,0.466472769967243
617.4,0.462454954807953
617.6,0.45875406846795
617.8,0.456438254107068
618,0.45409397337825
618.2,0.452477577700877
618.4,0.45109514426577
618.6,0.450111146641678
618.8,0.448934345941287
619,0.448657229283056
619.2,0.447464326399607
619.4,0.446631434787416
619.6,0.445773737030533
619.8,0.444792658830644
620,0.443261586343195
620.2,0.441186495557248
620.4,0.439504492571651
620.6,0.437453576713167
620.8,0.435014445614038
621,0.432100819974598
621.2,0.429112064162573
621.4,0.426058860944847
621.6,0.421706593660086
621.8,0.416869706918623
622,0.413199021247555
622.2,0.410029350398521
622.4,0.408118102917543
622.6,0.405881961648305
622.8,0.403620521492252
623,0.402203153021933
623.2,0.400916143399647
623.4,0.39897167129385
623.6,0.397740464546172
623.8,0.396672892537352
624,0.39586574368627
624.2,0.395632393242101
624.4,0.394544362800654
624.6,0.394382416644484
624.8,0.393760501132556
625,0.39321189828524
625.2,0.39251121007439
625.4,0.391636933425275
625.6,0.391180277345719
625.8,0.390218626331661
626,0.388644842300519
626.2,0.387832281956285
626.4,0.384871081050641
626.6,0.381007783364047
626.8,0.375396858111241
627,0.370910476513889
627.2,0.366925703154924
627.4,0.363382492881519
627.6,0.359809769282651
627.8,0.356463132373432
628,0.353368210167155
628.2,0.350685946728584
628.4,0.348424583853774
628.6,0.34573794409311
628.8,0.34396560367933
629,0.342243628895716
629.2,0.34037921004525
629.4,0.338600650732604
629.6,0.336566466814753
629.8,0.335111375049929
630,0.333637000474466
630.2,0.3322008876411
630.4,0.330563728683978
630.6,0.328982106914781
630.8,0.327497389644335
631,0.325851537423943
631.2,0.324840231766193
631.4,0.323541766604149
631.6,0.322313204363309
631.8,0.321349095623085
632,0.320318352208704
632.2,0.318726144064793
632.4,0.317602541658452
632.6,0.315584628078283
632.8,0.313318699991074
633,0.306787677616209
633.2,0.299305639257017
633.4,0.295152552186015
633.6,0.293656024346248
633.8,0.292376069162895
634,0.291470493655035
634.2,0.290771690360801
634.4,0.290109934176086
634.6,0.289839408396304
634.8,0.289226273080126
635,0.288902238351695
635.2,0.288612597327072
635.4,0.288087486801376
635.6,0.287796008650893
635.8,0.287213015198657
636,0.286265300669665
636.2,0.28524074680706
636.4,0.28399792225541
636.6,0.282681516007438
636.8,0.280702950589062
637,0.278448459148828
637.2,0.276319243889385
637.4,0.274379330827443
637.6,0.272276246421149
637.8,0.270213435008079
638,0.26819991905962
638.2,0.266596640442804
638.4,0.264646182970628
638.6,0.263234512166568
638.8,0.261674384855474
639,0.260236076493177
639.2,0.258522616470155
639.4,0.25686281866084
639.6,0.255032143552248
639.8,0.252822800405588
640,0.250716178176452
640.2,0.247656255038917
640.4,0.243715811093558
640.6,0.240400358895288
640.8,0.237483064912944
641,0.235662357897849
641.2,0.233849692654407
641.4,0.232552209282271
641.6,0.231065682851109
641.8,0.229778629489291
642,0.228447409557301
642.2,0.227464447988748
642.4,0.225980941056816
642.6,0.224847419846984
642.8,0.223303167717641
643,0.221528456650971
643.2,0.21976078685654
643.4,0.217954321083547
643.6,0.215894505496045
643.8,0.214091371045958
644,0.211986366398754
644.2,0.210337177466824
644.4,0.208189117303667
644.6,0.206465131531051
644.8,0.20462395874742
645,0.202765549364657
645.2,0.200993862697894
645.4,0.198932683220773
645.6,0.197250586571615
645.8,0.19549977201438
646,0.19373302588105
646.2,0.19202318121252
646.4,0.190379644135103
646.6,0.188618180580227
646.8,0.187213655773993
647,0.185670783274236
647.2,0.184145754694255
647.4,0.182571116393611
647.6,0.181055734580142
647.8,0.179855016976047
648,0.17852594972553
648.2,0.17721684905491
648.4,0.176039932534167
648.6,0.174615086076017
648.8,0.173734305342427
649,0.172438340267816
649.2,0.171304026159137
649.4,0.170114767536485
649.6,0.168936364632265
649.8,0.167548863584687
650,0.166387485059915
650.2,0.165049787133197
650.4,0.163824627088153
650.6,0.162429645295505
650.8,0.161231215067185
651,0.160065032193865
651.2,0.158837728356823
651.4,0.157455561662117
651.6,0.156144825843111
651.8,0.155088321149028
652,0.153797198874632
652.2,0.152542773605558
652.4,0.151276478219954
652.6,0.150071077197813
652.8,0.148787859424997
653,0.147430194462965
653.2,0.146163137973768
653.4,0.144956844783572
653.6,0.143772949584739
653.8,0.142281652518773
654,0.140966842863035
654.2,0.139705488985486
654.4,0.138617449362529
654.6,0.137419526018921
654.8,0.136198650444009
655,0.13512596241893
655.2,0.133934074779111
655.4,0.132812835720698
655.6,0.131714786538919
655.8,0.130658066124192
656,0.129496614665331
656.2,0.128577689455869
656.4,0.12752660299271
656.6,0.126421613880956
656.8,0.125272845257172
657,0.124288399594826
657.2,0.123189177847797
657.4,0.122203450507769
657.6,0.12108980691704
657.8,0.12008496635391
658,0.119053396442934
658.2,0.118036018824104
658.4,0.117026821498977
658.6,0.116046256107477
658.8,0.114929333426768
659,0.113993754743555
659.2,0.113001463539865
659.4,0.112232079920548
659.6,0.111212234525831
659.8,0.110307838086307
660,0.109396969413678
660.2,0.108488530508973
660.4,0.107636638092672
660.6,0.106693622974713
660.8,0.105766396509187
661,0.104913972469079
661.2,0.104034427662816
661.4,0.103047471035357
661.6,0.10193822418203
661.8,0.100941079789681
662,0.0998962849996972
662.2,0.0987124732208944
662.4,0.0974216683927235
662.6,0.0961466906248802
662.8,0.0949539336935929
663,0.0937248680270518
663.2,0.0924157684227866
663.4,0.0911085050590617
663.6,0.0899031561491533
663.8,0.0886401519863401
664,0.0875043299883452
664.2,0.0863026920696595
664.4,0.0853212538555412
664.6,0.0842725140198557
664.8,0.0832851154345756
665,0.0821927468967057
665.2,0.0812536302660745
665.4,0.0802271153716941
665.6,0.0792153456894891
665.8,0.0781800327503522
666,0.077291888470063
666.2,0.0763121023032561
666.4,0.0754044373741757
666.6,0.0745124534443478
666.8,0.0736651086689198
667,0.0727883997366204
667.2,0.071906909149692
667.4,0.0710210779116102
667.6,0.0701666288039026
667.8,0.0694795744459172
668,0.0686455865645177
668.2,0.0679174210505781
668.4,0.0671518808638127
668.6,0.0664576641146292
668.8,0.0657206405580941
669,0.0650092815520845
669.2,0.0643217048533032
669.4,0.0636452634493791
669.6,0.0630407041476641
669.8,0.0623949530118575
670,0.0617246663575843
670.2,0.0610301380609963
670.4,0.0604856683121359
670.6,0.0598573116098078
670.8,0.0591485073286954
671,0.0586256263972394
671.2,0.0579856693796256
671.4,0.0573750015258507
671.6,0.0568002395248869
671.8,0.0561450448349596
672,0.0555821251472284
672.2,0.0550054875230761
672.4,0.0543947240941353
672.6,0.0537676735115832
672.8,0.0532146308708934
673,0.0525991726888486
673.2,0.0520524417137423
673.4,0.0514495203519804
673.6,0.0508712805869544
673.8,0.0503383271170289
674,0.0498012998578586
674.2,0.0491830983533494
